bri,mired,watt
241,303,6.02
241,313,6.02
241,323,6.02
241,333,6.19
241,343,6.1
241,353,6.25
241,363,6.36
241,373,6.32
241,383,6.46
241,393,6.46
241,403,6.51
241,413,6.65
241,423,6.56
241,433,6.71
241,443,6.78
241,453,6.83
241,463,6.83
241,473,6.94
241,483,6.88
241,493,6.89
241,500,6.92
246,153,6.94
246,163,6.84
246,173,6.91
246,183,6.8
246,193,6.72
246,203,6.7
246,213,6.59
246,223,6.59
246,233,6.55
246,243,6.49
246,253,6.45
246,263,6.4
246,273,6.29
246,283,6.2
246,293,6.2
246,303,6.19
246,313,6.18
246,323,6.11
246,333,6.06
246,343,6.17
246,353,6.19
246,363,6.32
246,373,6.28
246,383,6.4
246,393,6.4
246,403,6.51
246,413,6.56
246,423,6.62
246,433,6.63
246,443,6.78
246,453,6.73
246,463,6.84
246,473,6.92
246,483,6.93
246,493,7.01
246,500,6.96
251,153,7.06
251,163,7.07
251,173,6.95
251,183,6.88
251,193,6.84
251,203,6.82
251,213,6.77
251,223,6.68
251,233,6.66
251,243,6.53
251,253,6.54
251,263,6.51
251,273,6.47
251,283,6.54
251,293,6.58
251,303,6.66
251,313,6.65
251,323,6.67
251,333,6.85
251,343,6.84
251,353,6.94
251,363,6.93
251,373,7.04
251,383,6.99
251,393,7.05
251,403,7.1
251,413,7.0
251,423,6.87
251,433,6.89
251,443,6.9
251,453,6.91
251,463,6.9
251,473,7.02
251,483,7.01
251,493,7.16
251,500,7.15
255,153,7.11
255,163,7.01
255,173,7.09
255,183,7.0
255,193,7.04
255,203,7.09
255,213,7.14
255,223,6.99
255,233,7.01
255,243,6.96
255,253,6.92
255,263,6.82
255,273,6.87
255,283,6.76
255,293,6.75
255,303,6.66
255,313,6.57
255,323,6.53
255,333,6.46
255,343,6.48
255,353,6.36
255,363,6.43
255,373,6.58
255,383,6.55
255,393,6.68
255,403,6.69
255,413,6.72
255,423,6.83
255,433,6.86
255,443,6.96
255,453,7.03
255,463,7.04
255,473,7.11
255,483,7.18
255,493,7.15
255,500,7.15
