bri,mired,watt
46,393,2.13
46,403,2.11
46,413,2.1
46,423,2.12
46,433,2.16
46,443,2.2
46,453,2.12
46,463,2.1
46,473,2.1
46,483,2.13
46,493,2.16
46,500,2.13
51,153,2.22
51,163,2.26
51,173,2.19
51,183,2.19
51,193,2.17
51,203,2.17
51,213,2.13
51,223,2.15
51,233,2.12
51,243,2.18
51,253,2.15
51,263,2.18
51,273,2.23
51,283,2.33
51,293,2.26
51,303,2.17
51,313,2.25
51,323,2.19
51,333,2.21
51,343,2.3
51,353,2.25
51,363,2.28
51,373,2.32
51,383,2.17
51,393,2.32
51,403,2.29
51,413,2.28
51,423,2.3
51,433,2.22
51,443,2.26
51,453,2.26
51,463,2.26
51,473,2.3
51,483,2.29
51,493,2.24
51,500,2.33
56,153,2.38
56,163,2.36
56,173,2.37
56,183,2.4
56,193,2.43
56,203,2.4
56,213,2.39
56,223,2.4
56,233,2.39
56,243,2.37
56,253,2.44
56,263,2.42
56,273,2.48
56,283,2.42
56,293,2.37
56,303,2.33
56,313,2.35
56,323,2.43
56,333,2.44
56,343,2.47
56,353,2.39
56,363,2.45
56,373,2.44
56,383,2.43
56,393,2.39
56,403,2.54
56,413,2.4
56,423,2.49
56,433,2.41
56,443,2.4
56,453,2.33
56,463,2.45
56,473,2.43
56,483,2.36
56,493,2.33
56,500,2.37
61,153,2.52
61,163,2.46
61,173,2.52
61,183,2.42
61,193,2.47
61,203,2.45
61,213,2.53
61,223,2.57
61,233,2.45
61,243,2.49
61,253,2.53
61,263,2.5
61,273,2.51
61,283,2.55
61,293,2.53
61,303,2.52
61,313,2.44
61,323,2.51
61,333,2.55
61,343,2.5
61,353,2.54
61,363,2.61
61,373,2.59
61,383,2.54
61,393,2.56
61,403,2.54
61,413,2.59
61,423,2.59
61,433,2.58
61,443,2.49
61,453,2.51
61,463,2.45
61,473,2.45
61,483,2.49
61,493,2.45
61,500,2.51
66,153,2.64
66,163,2.55
66,173,2.57
66,183,2.57
66,193,2.52
66,203,2.46
66,213,2.42
66,223,2.5
66,233,2.44
66,243,2.49
66,253,2.39
66,263,2.4
66,273,2.48
66,283,2.35
66,293,2.43
66,303,2.33
66,313,2.31
66,323,2.22
66,333,2.32
66,343,2.29
66,353,2.34
66,363,2.41
66,373,2.42
66,383,2.39
66,393,2.48
66,403,2.47
66,413,2.42
66,423,2.47
66,433,2.54
66,443,2.49
66,453,2.5
66,463,2.58
66,473,2.63
66,483,2.64
66,493,2.62
66,500,2.63
71,153,2.7
71,163,2.77
71,173,2.78
71,183,2.75
71,193,2.72
71,203,2.74
71,213,2.76
71,223,2.73
71,233,2.7
71,243,2.77
71,253,2.75
71,263,2.79
71,273,2.75
71,283,2.8
71,293,2.75
71,303,2.79
71,313,2.73
71,323,2.81
71,333,2.79
71,343,2.8
71,353,2.83
71,363,2.82
71,373,2.82
71,383,2.76
71,393,2.75
71,403,2.79
71,413,2.77
71,423,2.79
71,433,2.77
71,443,2.79
71,453,2.76
71,463,2.76
